case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage,log_jac_std,dice,hd95
OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image,evaluation_results/ants/SyN/OAI/results/OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image/OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image/OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image.9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image/OAI.9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_to_9993650_20060405_SAG_3D_DESS_LEFT_016610922203_image.warped_9651690_20050608_SAG_3D_DESS_LEFT_016610553706_image_seg.nii.gz,0.0,0.05508419,0.40843511368819185,7.715186096527322
OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image,evaluation_results/ants/SyN/OAI/results/OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image/OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image/OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image.9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image/OAI.9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_to_9047800_20050111_SAG_3D_DESS_LEFT_016610322306_image.warped_9357383_20050912_SAG_3D_DESS_LEFT_016610520402_image_seg.nii.gz,0.0,0.06788359,0.6556513400401831,5.0431331921729505
OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image,evaluation_results/ants/SyN/OAI/results/OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image/OAI.9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_to_9902757_20051021_SAG_3D_DESS_RIGHT_016610209509_image.warped_9663706_20050629_SAG_3D_DESS_RIGHT_016610409412_image_seg.nii.gz,0.0,0.062251393,0.6768988389174356,4.142496461354964
OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image,evaluation_results/ants/SyN/OAI/results/OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image/OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image/OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image.9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image/OAI.9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_to_9146462_20060213_SAG_3D_DESS_RIGHT_016610859809_image.warped_9761431_20051103_SAG_3D_DESS_RIGHT_016610945809_image_seg.nii.gz,0.0,0.05413761,0.26943247093807277,12.512663216386724
OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image,evaluation_results/ants/SyN/OAI/results/OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image/OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image/OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image.9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image/OAI.9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_to_9720535_20050617_SAG_3D_DESS_LEFT_016610926706_image.warped_9357137_20051212_SAG_3D_DESS_LEFT_016610629903_image_seg.nii.gz,0.0,0.035038333,0.07848199806512308,8.71516779303932
OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image,evaluation_results/ants/SyN/OAI/results/OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image/OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image/OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image.9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image/OAI.9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_to_9056363_20040831_SAG_3D_DESS_LEFT_016610120306_image.warped_9971275_20060111_SAG_3D_DESS_LEFT_016610658306_image_seg.nii.gz,0.0,0.044775713,0.04291629291629292,13.65020356580189
OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image,evaluation_results/ants/SyN/OAI/results/OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image/OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image/OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image.9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image/OAI.9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_to_9352883_20051123_SAG_3D_DESS_LEFT_016610798103_image.warped_9587749_20050707_SAG_3D_DESS_LEFT_016610415806_image_seg.nii.gz,0.0,0.030609721,0.0055747586033693085,14.139595130762833
OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image,evaluation_results/ants/SyN/OAI/results/OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image/OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image/OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image.9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image/OAI.9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_to_9993846_20051230_SAG_3D_DESS_LEFT_016610642603_image.warped_9003406_20041118_SAG_3D_DESS_LEFT_016610296205_image_seg.nii.gz,0.0,0.04215951,0.6631129989068378,3.359247329616399
OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image,evaluation_results/ants/SyN/OAI/results/OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image/OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image/OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image.9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image/OAI.9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_to_9382271_20050415_SAG_3D_DESS_RIGHT_016610375312_image.warped_9947240_20040818_SAG_3D_DESS_RIGHT_016610240012_image_seg.nii.gz,0.0,0.067581154,0.006658661204115749,21.11984598879824
OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image,evaluation_results/ants/SyN/OAI/results/OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image/OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image/OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image.9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image_seg.nii.gz,evaluation_results/ants/SyN/OAI/results/OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image/OAI.9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_to_9056363_20051010_SAG_3D_DESS_LEFT_016610100103_image.warped_9803694_20041013_SAG_3D_DESS_LEFT_016610266313_image_seg.nii.gz,0.0,0.04994451,0.10172934867660677,11.215884304850888
