DICE,%folds,direction
0.7843513169478769,1.8658892128279884e-05,forward
0.5371033754506949,5.597667638483965e-05,forward
0.7220418227969251,0.0,forward
0.32562811743871195,0.0,forward
0.460713068408011,3.731778425655977e-05,forward
0.9130996641981746,0.0,forward
0.5365429331110335,0.0,forward
0.4286308830599699,9.329446064139942e-05,forward
0.6543668808041614,0.0,forward
0.5832287105426652,0.0,forward
0.6143570960816186,0.0,forward
0.6106804748797158,1.8658892128279884e-05,forward
0.8348945243802802,0.0,forward
0.5907235271116568,0.0,forward
0.6778482819571985,0.0,forward
0.5177783387730646,0.0,forward
0.7024376649512799,0.0,forward
0.7344447495831612,0.0,forward
0.5110177990209864,0.0,forward
0.7911241340502878,0.0,forward
0.5784572352357946,0.0,forward
0.7422579782004338,0.0,forward
0.5679435438328876,0.0,forward
0.6561013557830421,1.8658892128279884e-05,forward
0.5556522457347342,0.0,forward
0.6580763744484582,0.0,forward
0.6586401196593124,0.0002052478134110787,forward
0.536880988649724,0.0,forward
0.6358258198675029,1.8658892128279884e-05,forward
0.5667849429924484,0.0,forward
0.8656083125141167,0.0,forward
0.8939825736482696,0.0,forward
0.8356065375184577,0.0,forward
0.6408594041512485,0.0,forward
0.7894833703595973,0.0,forward
0.7432037641891504,3.731778425655977e-05,forward
0.6952191514983143,5.597667638483965e-05,forward
0.6522784206262617,0.0,forward
0.5454733907557869,0.0,forward
0.5623143005918829,0.00014927113702623907,forward
0.5251638457710089,0.0,forward
0.4585680860348644,0.0,forward
0.7193939037853164,0.0,forward
0.565092432543819,0.0,forward
0.7991470059995702,0.0,forward
0.41474550411520616,0.0,forward
0.6339651909323033,0.0001119533527696793,forward
0.8331424110230293,0.0,forward
0.7200712195817042,0.0,forward
0.45105691172419676,0.0,forward
0.8019045233122535,1.8658892128279884e-05,backward
0.5951443090766233,5.597667638483965e-05,backward
0.7534431619128679,0.0,backward
0.3948958804222011,0.0,backward
0.4739864796462862,3.731778425655977e-05,backward
0.9156313284708132,0.0,backward
0.5928275446892664,0.0,backward
0.46763904080587654,9.329446064139942e-05,backward
0.8040022653439866,0.0,backward
0.6145598851373705,0.0,backward
0.6763911456697146,0.0,backward
0.6568326921879086,1.8658892128279884e-05,backward
0.8511883911660657,0.0,backward
0.63102255911221,0.0,backward
0.7117433034898654,0.0,backward
0.5549284946339167,0.0,backward
0.7405161389749496,0.0,backward
0.7567807468244592,0.0,backward
0.5999578967519389,0.0,backward
0.8138978971771064,0.0,backward
0.6701944181636401,0.0,backward
0.7758467876565955,0.0,backward
0.6099299625236813,0.0,backward
0.7012512150093467,1.8658892128279884e-05,backward
0.6092963064297882,0.0,backward
0.6989974369473778,0.0,backward
0.7233192963912877,0.0002052478134110787,backward
0.6124272950267567,0.0,backward
0.6719653095670255,1.8658892128279884e-05,backward
0.6315979711390902,0.0,backward
0.8668081262103174,0.0,backward
0.8959873167828145,0.0,backward
0.8447592415546757,0.0,backward
0.688537100475673,0.0,backward
0.818130840847085,0.0,backward
0.7552231230621195,3.731778425655977e-05,backward
0.7323753783170289,5.597667638483965e-05,backward
0.6840600085453529,0.0,backward
0.590888801709473,0.0,backward
0.6145268688271409,0.00014927113702623907,backward
0.590477733366118,0.0,backward
0.4960835241259924,0.0,backward
0.768443663175645,0.0,backward
0.5964476695671636,0.0,backward
0.8105108298896008,0.0,backward
0.49541414392730115,0.0,backward
0.6719412217696901,0.0001119533527696793,backward
0.8325248183466581,0.0,backward
0.7452639802412838,0.0,backward
0.5194528502185691,0.0,backward
