DICE,%folds,direction
0.7687023539532505,0.026143391927083332,forward
0.6630938660082869,0.08656819661458333,forward
0.8248742755011175,0.07978651258680555,forward
0.494947609779284,0.06072998046874999,forward
0.5896195410874867,0.04686143663194445,forward
0.8768776188313813,0.03451877170138889,forward
0.6684927447893143,0.04781087239583333,forward
0.4845412894726673,0.039571126302083336,forward
0.5745702344650176,0.06700303819444445,forward
0.7040674181603342,0.009935167100694444,forward
0.699764378478669,0.08188883463541666,forward
0.6497452030004557,0.02356635199652778,forward
0.7255696802009322,0.07080078125,forward
0.6147291587277052,0.04058837890625,forward
0.8147091819182087,0.014478895399305556,forward
0.51580532952705,0.0738525390625,forward
0.7293714920010191,0.021938747829861112,forward
0.7755854150700312,0.057474772135416664,forward
0.673062942980013,0.05754258897569444,forward
0.4502959456957829,0.04879421657986111,forward
0.6233725506098404,0.047098795572916664,forward
0.6167369142766865,0.05350748697916667,forward
0.6366335333448774,0.08165147569444445,forward
0.7090306395963598,0.02953423394097222,forward
0.6762083057434861,0.07880316840277778,forward
0.7015539885026283,0.04679361979166667,forward
0.7058063707768851,0.11603461371527779,forward
0.570944655567192,0.05720350477430555,forward
0.6405808052893153,0.052422417534722224,forward
0.594539970389901,0.06646050347222222,forward
0.8329927509499669,0.054389105902777776,forward
0.8540079651729275,0.06656222873263888,forward
0.8057362111432759,0.016242133246527776,forward
0.6991971030294369,0.016682942708333332,forward
0.7989033454141613,0.018649631076388888,forward
0.6872566139890267,0.05933973524305555,forward
0.7521486899402449,0.07639567057291667,forward
0.7039638112688967,0.036519368489583336,forward
0.6707484551627422,0.05482991536458333,forward
0.6254905985767659,0.03329806857638889,forward
0.7235718336169077,0.07710774739583333,forward
0.4665701733208572,0.03923204210069445,forward
0.7849295946776143,0.08416069878472222,forward
0.4166696409557556,0.11162651909722221,forward
0.7765317375961719,0.03740098741319445,forward
0.5190812785206709,0.050862630208333336,forward
0.7000356928518122,0.04072401258680556,forward
0.6223243597480446,0.0695461697048611,forward
0.6843675677510133,0.08405897352430555,forward
0.5853567222204217,0.026007758246527776,forward
0.8097998789960202,0.026143391927083332,backward
0.700574051288343,0.08656819661458333,backward
0.7750188069749376,0.07978651258680555,backward
0.391920430822907,0.06072998046874999,backward
0.4017877877338533,0.04686143663194445,backward
0.8879243480387901,0.03451877170138889,backward
0.6912786236285582,0.04781087239583333,backward
0.47271740471471063,0.039571126302083336,backward
0.6752555889516301,0.06700303819444445,backward
0.7634989693709082,0.009935167100694444,backward
0.5844833833141038,0.08188883463541666,backward
0.6018909386972372,0.02356635199652778,backward
0.8267945616052016,0.07080078125,backward
0.6877977813765122,0.04058837890625,backward
0.8298843525664976,0.014478895399305556,backward
0.6931078234455356,0.0738525390625,backward
0.7711202925468289,0.021938747829861112,backward
0.8316106578525965,0.057474772135416664,backward
0.7770039510483407,0.05754258897569444,backward
0.382570593743586,0.04879421657986111,backward
0.6344187522350933,0.047098795572916664,backward
0.739727375793389,0.05350748697916667,backward
0.6855028541442115,0.08165147569444445,backward
0.7050030225411247,0.02953423394097222,backward
0.6804384951255272,0.07880316840277778,backward
0.8295329248751041,0.04679361979166667,backward
0.6693017203857314,0.11603461371527779,backward
0.671861482755063,0.05720350477430555,backward
0.7333533382476679,0.052422417534722224,backward
0.5742641561538719,0.06646050347222222,backward
0.8604537259453676,0.054389105902777776,backward
0.8841673275973175,0.06656222873263888,backward
0.8567075594487482,0.016242133246527776,backward
0.7857595678600179,0.016682942708333332,backward
0.7550183090151253,0.018649631076388888,backward
0.7227065883602514,0.05933973524305555,backward
0.7793019762868175,0.07639567057291667,backward
0.5625867570554918,0.036519368489583336,backward
0.6467743505253366,0.05482991536458333,backward
0.5678520618649912,0.03329806857638889,backward
0.5366093638659077,0.07710774739583333,backward
0.6619973197784447,0.03923204210069445,backward
0.8401048258710818,0.08416069878472222,backward
0.23989996054648968,0.11162651909722221,backward
0.7919245288955908,0.03740098741319445,backward
0.6101071358531521,0.050862630208333336,backward
0.6793078811892931,0.04072401258680556,backward
0.8541332684341283,0.0695461697048611,backward
0.7468539608394459,0.08405897352430555,backward
0.6939099532172116,0.026007758246527776,backward
