DICE,%folds,direction
0.8132858900254892,0.0,forward
0.7499044160649518,0.0,forward
0.8525881984620435,0.0,forward
0.5551638521898351,0.0004478134110787172,forward
0.6864543253195959,0.0,forward
0.9225896590388024,0.0,forward
0.7284280728733522,0.0001119533527696793,forward
0.5788763343248472,3.731778425655977e-05,forward
0.767256716240162,0.0,forward
0.7610873324522855,0.0,forward
0.7416510443671424,0.0004104956268221574,forward
0.7506235696841351,0.0,forward
0.8649197063218591,0.0,forward
0.6815192846633612,9.329446064139942e-05,forward
0.838277316897409,0.0,forward
0.6470368117443986,0.0004664723032069971,forward
0.7808867398296218,0.0,forward
0.8487511616633658,0.0,forward
0.7142292992212238,0.0,forward
0.8710141875009384,7.463556851311954e-05,forward
0.7760066709113705,0.0,forward
0.8120010202653778,0.0,forward
0.7484001506796933,0.0,forward
0.8007933778603128,0.0,forward
0.7181404908446979,0.0,forward
0.8137629769303789,0.0,forward
0.79893620655796,0.0,forward
0.7368464900240603,0.0,forward
0.7977565915553341,0.0010635568513119532,forward
0.7556410817219664,0.0,forward
0.8829327266192792,0.0,forward
0.9269512071547706,0.0,forward
0.8639798250112815,0.0,forward
0.7846317800196414,0.0,forward
0.8217521474989744,0.0,forward
0.7991008788067443,0.0001306122448979592,forward
0.8175905279952201,0.000634402332361516,forward
0.7828718106107844,0.0,forward
0.7191899760939021,0.0,forward
0.732662073848627,3.731778425655977e-05,forward
0.7491005341218923,0.0001306122448979592,forward
0.6453403210877598,0.0,forward
0.8406242256025681,0.00027988338192419824,forward
0.749168595622077,0.0,forward
0.8268392099405965,0.0,forward
0.6096787640323958,0.0002612244897959184,forward
0.7784303204231442,0.0002239067055393586,forward
0.8758509745619275,0.0,forward
0.768828892410771,9.329446064139942e-05,forward
0.672219117439658,9.329446064139942e-05,forward
0.8351149415873022,0.0,backward
0.8061578739090813,0.0,backward
0.864497126307775,0.0,backward
0.5934467484140343,0.0004478134110787172,backward
0.7500461290431136,0.0,backward
0.926605893092085,0.0,backward
0.7857942066098401,0.0001119533527696793,backward
0.6784961819322208,3.731778425655977e-05,backward
0.8086985534698464,0.0,backward
0.8001430837469461,0.0,backward
0.8015513923367812,0.0004104956268221574,backward
0.782365672991749,0.0,backward
0.8801621360989622,0.0,backward
0.7584474180872194,9.329446064139942e-05,backward
0.8591773838325726,0.0,backward
0.7219679883310853,0.0004664723032069971,backward
0.8194912976343086,0.0,backward
0.8721528188935177,0.0,backward
0.8041411240461541,0.0,backward
0.8823965831830392,7.463556851311954e-05,backward
0.832741934268333,0.0,backward
0.8386525945007768,0.0,backward
0.7907108614632841,0.0,backward
0.853355515789897,0.0,backward
0.7836741162732151,0.0,backward
0.8710267591432412,0.0,backward
0.8317958068566572,0.0,backward
0.7835833044410019,0.0,backward
0.8269981229957021,0.0010635568513119532,backward
0.8020243703890108,0.0,backward
0.8948823107536383,0.0,backward
0.9339886613324143,0.0,backward
0.8653879219804804,0.0,backward
0.8236489522643514,0.0,backward
0.8479824832143897,0.0,backward
0.8126039895976227,0.0001306122448979592,backward
0.8315689319003882,0.000634402332361516,backward
0.8186390739728496,0.0,backward
0.7905229946835736,0.0,backward
0.794043467107351,3.731778425655977e-05,backward
0.8097950666547136,0.0001306122448979592,backward
0.7093307093229188,0.0,backward
0.8669035096692713,0.00027988338192419824,backward
0.7866017453020889,0.0,backward
0.8436473047048993,0.0,backward
0.711489420976999,0.0002612244897959184,backward
0.8130833487419338,0.0002239067055393586,backward
0.8912358774709777,0.0,backward
0.7880427677784708,9.329446064139942e-05,backward
0.7502776657519387,9.329446064139942e-05,backward
