case_id,segmentation_A,segmentation_B,warped_segmentation_A,flips_percentage,log_jac_std,dice,hd95
HCP.124422_to_414229,evaluation_results/ants/SyN/HCP-1/results/HCP.124422_to_414229/HCP.124422_to_414229.124422_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.124422_to_414229/HCP.124422_to_414229.414229_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.124422_to_414229/HCP.124422_to_414229.warped_124422_seg.nii.gz,0.0,0.033226553,0.7658180154516018,1.9508225936705017
HCP.654754_to_124422,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_124422/HCP.654754_to_124422.654754_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_124422/HCP.654754_to_124422.124422_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_124422/HCP.654754_to_124422.warped_654754_seg.nii.gz,0.0,0.027999485,0.7370603845995541,2.1952344908172687
HCP.212318_to_124422,evaluation_results/ants/SyN/HCP-1/results/HCP.212318_to_124422/HCP.212318_to_124422.212318_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.212318_to_124422/HCP.212318_to_124422.124422_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.212318_to_124422/HCP.212318_to_124422.warped_212318_seg.nii.gz,0.0,0.030934785,0.7694627285704876,2.0439461914899844
HCP.124422_to_672756,evaluation_results/ants/SyN/HCP-1/results/HCP.124422_to_672756/HCP.124422_to_672756.124422_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.124422_to_672756/HCP.124422_to_672756.672756_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.124422_to_672756/HCP.124422_to_672756.warped_124422_seg.nii.gz,0.0,0.03221806,0.7577154655395875,2.1207908609890485
HCP.857263_to_131217,evaluation_results/ants/SyN/HCP-1/results/HCP.857263_to_131217/HCP.857263_to_131217.857263_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.857263_to_131217/HCP.857263_to_131217.131217_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.857263_to_131217/HCP.857263_to_131217.warped_857263_seg.nii.gz,0.0,0.031828653,0.7274842138403211,3.14980364517139
HCP.148335_to_199655,evaluation_results/ants/SyN/HCP-1/results/HCP.148335_to_199655/HCP.148335_to_199655.148335_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.148335_to_199655/HCP.148335_to_199655.199655_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.148335_to_199655/HCP.148335_to_199655.warped_148335_seg.nii.gz,0.0,0.03540472,0.734219344567436,2.607214271429725
HCP.162733_to_857263,evaluation_results/ants/SyN/HCP-1/results/HCP.162733_to_857263/HCP.162733_to_857263.162733_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.162733_to_857263/HCP.162733_to_857263.857263_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.162733_to_857263/HCP.162733_to_857263.warped_162733_seg.nii.gz,0.0,0.03176904,0.6985506621178439,3.8881653684429653
HCP.146432_to_126325,evaluation_results/ants/SyN/HCP-1/results/HCP.146432_to_126325/HCP.146432_to_126325.146432_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.146432_to_126325/HCP.146432_to_126325.126325_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.146432_to_126325/HCP.146432_to_126325.warped_146432_seg.nii.gz,0.0,0.027995173,0.7499495922857774,1.568445556850044
HCP.149337_to_149539,evaluation_results/ants/SyN/HCP-1/results/HCP.149337_to_149539/HCP.149337_to_149539.149337_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.149337_to_149539/HCP.149337_to_149539.149539_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.149337_to_149539/HCP.149337_to_149539.warped_149337_seg.nii.gz,0.0,0.032793988,0.7749206197295895,1.7908954646651218
HCP.153025_to_857263,evaluation_results/ants/SyN/HCP-1/results/HCP.153025_to_857263/HCP.153025_to_857263.153025_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.153025_to_857263/HCP.153025_to_857263.857263_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.153025_to_857263/HCP.153025_to_857263.warped_153025_seg.nii.gz,0.0,0.032068044,0.7233777440833186,3.750305794681708
HCP.654754_to_147737,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_147737/HCP.654754_to_147737.654754_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_147737/HCP.654754_to_147737.147737_seg.nii.gz,evaluation_results/ants/SyN/HCP-1/results/HCP.654754_to_147737/HCP.654754_to_147737.warped_654754_seg.nii.gz,0.0,0.025289971,0.7224190694290477,2.087136802958621
